time,zoneR1C1_AG_slower.Y
662400,23.57980898
662400,23.57980898
664200,23.41532798
664200,23.41532797
664200,23.41532797
666000,23.23988562
666000,23.23988562
666000,23.23988562
667800,23.06006691
667800,23.0600669
667800,23.0600669
669600,22.87680737
669600,22.87680737
669600,22.87680737
671400,22.69086328
671400,22.69086327
671400,22.69086327
673200,22.50372008
673200,22.50372007
673200,22.50372007
675000,22.31684877
675000,22.31684877
675000,22.31684877
676800,22.13006419
676800,22.13006419
676800,22.13006419
678600,21.96623218
678600,21.96623218
678600,21.96623218
680400,21.99047809
680400,21.99047809
680400,21.99047809
682200,22.01402174
682200,22.01402173
682200,22.01402173
684000,22.01383061
684000,22.01383061
684000,22.01383061
685800,22.00007895
685800,22.00007895
685800,22.00007895
687600,21.8206075
687600,21.82060749
687600,21.82060749
689400,21.62006924
689400,21.62006923
689400,21.62006923
691200,21.41898745
691200,21.41898744
691200,21.41898744
693000,21.2186456
693000,21.21864559
693000,21.21864559
694800,21.018855
694800,21.01885499
694800,21.01885499
696600,20.81942888
696600,20.81942887
696600,20.81942887
698400,20.62091423
698400,20.62091422
698400,20.62091422
700200,20.4238527
700200,20.4238527
700200,20.4238527
702000,20.2284169
702000,20.22841689
702000,20.22841689
703800,20.03477769
703800,20.03477768
703800,20.03477768
705600,20.02638402
705600,20.02638402
705600,20.02638402
707400,19.99814987
707400,19.99814988
707400,19.99814988
709200,20.35699066
709200,20.35699068
709200,20.35699068
711000,20.76437291
711000,20.76437293
711000,20.76437293
712800,21.19278174
712800,21.19278176
712800,21.19278176
714600,21.65132057
714600,21.65132059
714600,21.65132059
716400,22.08965532
716400,22.08965532
716400,22.08965532
718200,22.07467997
718200,22.07467997
718200,22.07467997
720000,22.0971386
720000,22.0971386
720000,22.0971386
721800,22.15154128
721800,22.15154128
721800,22.15154128
723600,22.23264843
723600,22.23264844
723600,22.23264844
725400,22.33432343
725400,22.33432344
725400,22.33432344
727200,22.45067924
727200,22.45067925
727200,22.45067925
729000,22.57585228
